tam,burn_rate,requested_amount,milestone_count,team_experience,industry,prev_funding,is_successful
5080522,6320,151680,1,3,SaaS,0,0
6609152,6640,232400,4,0,Infrastructure,1,0
60796004,3923,66691,1,4,DeFi,0,1
9323938,7093,141860,7,7,Gaming,0,1
6570424,2926,96558,6,8,AI,0,0
12527756,6423,160575,3,2,Gaming,0,0
1904927,6406,70466,1,7,DeFi,1,0
381199430,2122,21220,5,9,SaaS,0,0
198280955,9578,86202,5,5,SaaS,1,0
5144094,3892,27244,7,8,Gaming,0,0
410856,3748,97448,4,1,Gaming,1,0
91795877,120004,1440048,2,5,SaaS,0,0
209992169,9999,169983,4,8,SaaS,0,0
13992562,11995,239900,3,5,Gaming,1,1
732633,6385,153240,5,6,SaaS,0,1
932840,15203,121624,4,2,Gaming,0,0
841834,3143,91147,3,3,DeFi,0,0
1463018,33084,1058688,6,6,AI,1,0
3974422,6860,185220,3,0,SaaS,0,0
81892421,27792,583632,3,0,Gaming,1,0
1585948,35205,316845,6,8,SaaS,0,0
6147372,7756,85316,7,6,AI,0,0
6235092,26459,343967,2,1,DeFi,0,0
1697233,22978,206802,4,6,DeFi,1,0
26463657,13857,180141,2,4,AI,0,0
6135880,737,6633,6,2,AI,0,0
140817613,14748,368700,5,4,Infrastructure,0,0
13587812,1267,34209,7,7,Infrastructure,0,0
6302859,5914,100538,7,3,SaaS,1,1
631597,7120,78320,4,8,DeFi,0,0
11460878,4323,116721,1,3,SaaS,0,0
195081,4267,46937,7,0,DeFi,0,0
76159,5604,89664,4,14,SaaS,1,1
36458556,5430,146610,5,6,AI,1,0
1992632,7422,81642,2,5,AI,0,0
156630,45498,955458,7,4,SaaS,0,0
272218,6891,48237,7,0,Gaming,0,0
3500804,3037,106295,1,2,DeFi,0,0
19725107,10247,235681,1,4,Gaming,0,0
555932,9253,194313,6,5,Gaming,1,1
5024167,2352,51744,4,8,Gaming,0,0
1614709,36378,1091340,4,6,Infrastructure,0,0
257549,4645,83610,3,3,Infrastructure,0,0
133133,5970,101490,2,4,Gaming,0,0
418959,30627,918810,1,2,AI,0,0
403972716,4205,147175,2,4,SaaS,1,0
6539401,33315,832875,3,8,Infrastructure,0,0
16285144,7600,152000,4,0,SaaS,1,1
5495000,30838,1048492,5,8,SaaS,1,0
1458313,8085,56595,6,4,SaaS,1,0
24676027,27980,895360,7,5,SaaS,1,0
2990211,14108,239836,6,6,Infrastructure,0,0
13851149,18691,598112,6,6,Infrastructure,0,0
4573580,4497,40473,7,4,Infrastructure,0,0
11220611,7426,245058,3,3,Gaming,1,0
69576889,2975,83300,6,2,DeFi,0,0
38908308,4152,132864,3,1,AI,0,0
13373797,1275,17850,6,3,Infrastructure,0,1
15424239,1982,37658,4,3,Infrastructure,1,0
83947315,140779,1126232,5,6,DeFi,0,0
106425511,9890,316480,6,10,Infrastructure,0,0
13428961,8692,278144,5,5,Gaming,0,0
14101099,16043,497333,1,5,DeFi,0,0
43006809,6676,120168,3,0,Infrastructure,1,0
7977786,8692,243376,7,2,AI,1,0
25376998,5613,179616,1,5,SaaS,0,0
23762306,4288,102912,2,5,DeFi,0,0
138390,11521,345630,2,4,Infrastructure,0,0
15109088,6743,229262,3,7,SaaS,0,0
806440770,7538,120608,6,6,Gaming,0,1
278629,5138,61656,3,3,Gaming,0,1
12076888,10175,132275,2,6,SaaS,0,1
10584020,3053,51901,7,5,AI,1,1
262910327,3071,52207,3,1,SaaS,0,0
10262613,8265,148770,5,7,Infrastructure,1,1
4350417,21341,490843,5,3,Infrastructure,0,0
168488,13387,93709,3,8,AI,1,0
10401720,14834,192842,7,6,Infrastructure,0,1
15265224,248543,8201919,7,4,DeFi,0,0
50892405,14121,480114,3,5,DeFi,1,0
5108160,17269,224497,6,3,DeFi,1,1
24707802,7201,64809,2,8,AI,0,0
2519097,13155,144705,3,7,AI,0,0
96988168,9445,179455,2,5,SaaS,0,0
9022709,22169,665070,4,3,SaaS,0,0
10850457,2600,70200,1,4,AI,0,0
1562252,1257,41481,5,4,SaaS,1,0
16534065,9991,99910,4,8,Infrastructure,0,0
2114192,87045,609315,1,4,AI,0,0
1197863,26244,577368,5,6,SaaS,0,1
989897,8281,115934,5,0,DeFi,0,0
25213620,8465,262415,5,4,Infrastructure,0,0
4642323,5130,123120,4,0,Gaming,0,0
2588374,4560,41040,7,8,AI,0,0
72748539,3576,75096,7,2,Gaming,0,0
27175264,3126,28134,2,3,SaaS,1,0
115958169,39554,711972,5,7,Gaming,1,1
11370539,3506,70120,1,4,DeFi,0,1
18955265,6465,142230,3,0,SaaS,0,0
26458366,1146,24066,2,9,Infrastructure,0,1
1097922886,2433,58392,6,2,AI,0,1
3226920,2997,89910,4,0,Gaming,0,0
1273480,15673,188076,1,9,Gaming,0,1
1418807,6829,184383,6,7,Infrastructure,0,0
28482846,5225,146300,7,6,Infrastructure,1,0
151873043,1975,53325,5,3,Infrastructure,0,0
7967644,4374,61236,1,7,DeFi,0,1
919508,6023,66253,6,4,AI,0,0
20212773,9160,54960,6,2,SaaS,0,0
108435,4291,115857,5,4,Infrastructure,0,0
99813,35268,387948,2,0,Gaming,0,0
8881938,76357,534499,1,0,AI,0,0
24819104,13483,471905,3,4,SaaS,0,0
7727228,30942,680724,6,5,AI,0,1
71722279,22340,625520,1,5,DeFi,0,0
22549048,2688,53760,1,4,SaaS,1,1
15947836,7725,254925,5,2,Gaming,0,0
1550083,20261,283654,3,5,AI,0,1
5865784,18603,241839,1,4,Infrastructure,0,0
5284215,5587,78218,2,7,Infrastructure,0,1
551707812,12024,108216,4,3,DeFi,0,0
6321345,2921,84709,1,3,SaaS,0,0
148107,2588,62112,7,2,Gaming,0,0
60369599,11280,383520,1,5,SaaS,0,0
2063722,6188,191828,5,2,DeFi,0,0
9234743,6249,106233,1,4,SaaS,1,1
10841950,6262,194122,6,4,Gaming,1,0
495004,37964,1176884,5,2,Gaming,0,0
1137288888,63143,1199717,2,6,Gaming,1,1
574195,22163,288119,4,0,SaaS,0,0
8598185,49252,1428308,2,11,DeFi,1,0
4384854,54160,974880,1,8,Gaming,0,1
34018774,26298,262980,4,7,Gaming,0,0
551981,13013,286286,5,2,Gaming,0,0
3734921,6702,160848,2,8,SaaS,0,1
88248490,3674,121242,4,5,SaaS,1,0
15228467,2989,38857,5,4,DeFi,1,1
2139838,1490,8940,4,8,DeFi,0,0
8826997,10038,180684,1,4,SaaS,1,1
6116657,18235,419405,3,2,DeFi,1,0
476762,245555,3192215,6,6,AI,1,1
436012,12044,349276,4,6,Gaming,1,0
1531365,8936,187656,7,5,DeFi,1,1
102662,7321,212309,2,8,SaaS,0,0
9050656,17870,553970,7,1,AI,0,0
4989117,13054,261080,4,5,SaaS,0,0
74440316,15667,391675,5,11,AI,1,0
50122018,25329,861186,7,3,Gaming,0,0
305359225,9278,222672,3,6,AI,1,1
78150847,8220,82200,4,2,SaaS,0,0
11315268,7642,53494,5,1,DeFi,1,0
4451640,5040,70560,1,6,AI,0,0
36083853,7560,105840,6,9,Gaming,0,1
13978103,3372,60696,3,7,Infrastructure,1,1
5920977,31268,250144,6,0,Infrastructure,1,0
46257936,1157,17355,2,6,Infrastructure,0,1
29774228,19831,654423,1,13,DeFi,1,0
17657933,6012,54108,2,7,DeFi,0,0
1252616,14816,488928,4,6,Infrastructure,0,0
7098001,54091,324546,1,2,SaaS,0,0
562787,5340,117480,5,4,SaaS,0,0
434201,10556,168896,6,2,AI,0,0
1670626094,2974,74350,7,5,Infrastructure,0,0
27791318,48767,829039,5,7,AI,0,0
4087899,14492,289840,7,6,Gaming,1,1
14856000,2293,22930,7,1,Gaming,0,0
6885220,4529,58877,6,3,AI,0,0
808160,151422,4845504,7,2,AI,1,0
12896058,7032,168768,5,5,Infrastructure,0,0
2489702282,3665,58640,3,7,DeFi,1,1
294078546,21981,637449,1,4,Infrastructure,1,0
442924,1998,47952,5,6,SaaS,0,0
546333,4636,101992,5,6,Infrastructure,0,1
22916413,13546,203190,2,10,SaaS,1,1
18801782,12668,405376,4,8,SaaS,1,0
4381420,3876,85272,4,0,SaaS,1,0
6197242,3054,76350,4,7,SaaS,1,1
245486,6194,111492,2,6,Infrastructure,0,0
66901083,6620,125780,1,2,Gaming,0,0
23720546,14160,368160,4,5,DeFi,0,0
2701504,5973,59730,3,1,SaaS,0,0
528858195,4743,90117,5,2,AI,0,1
13858936,3759,60144,7,2,Infrastructure,0,0
1540307,3237,71214,6,4,DeFi,0,1
161475766,50983,560813,1,6,AI,0,0
32018860,685,4795,5,3,Infrastructure,1,0
198025529,1230,30750,6,3,Gaming,0,0
35521875,47866,1531712,7,5,DeFi,0,0
8028433,18394,294304,1,4,Infrastructure,0,0
4139115,12925,90475,1,0,Infrastructure,0,0
154944,11897,226043,6,10,Infrastructure,1,1
217592129,19788,534276,5,8,Gaming,0,0
1900266,6309,170343,2,8,AI,0,0
6315400,1856,48256,4,0,DeFi,1,0
37704835,22312,780920,5,4,DeFi,0,0
19285614,6941,76351,1,3,SaaS,1,0
3550598,4104,45144,7,2,AI,1,0
4688446,2428,41276,7,3,SaaS,0,0
6835613,33978,917406,6,7,Infrastructure,0,0
936342,16571,314849,2,3,Gaming,0,0
62017782,25373,152238,1,4,Gaming,0,0
14641320,29901,448515,2,8,AI,0,1
3420025,459,11016,1,0,Infrastructure,0,0
289461091,116468,4076380,5,4,SaaS,0,0
4018953,14873,133857,6,5,Infrastructure,0,0
324382186,8746,52476,4,3,DeFi,0,0
43992180,5729,63019,7,4,Gaming,0,0
3754247,11659,256498,1,2,DeFi,0,0
11743337,4678,121628,4,2,Gaming,0,0
455825,2457,36855,5,8,DeFi,0,1
11944521,2790,92070,4,4,Infrastructure,1,0
103810554,878,7024,7,8,DeFi,0,0
7206398,2398,55154,5,9,AI,0,1
2518930,16565,579775,5,3,DeFi,0,0
493678,2880,20160,1,1,SaaS,0,0
1092648,2622,18354,4,4,Infrastructure,0,0
220690,5148,149292,7,2,SaaS,0,0
94929450,7871,251872,4,4,Gaming,0,0
46870741,1820,40040,3,6,SaaS,0,0
1440252,19545,527715,3,4,AI,0,0
1103461,13358,374024,4,5,AI,0,0
265199,5268,100092,4,3,DeFi,1,1
918872,6528,71808,5,7,DeFi,0,0
1318844,5525,165750,4,5,DeFi,1,0
139438637,25454,178178,6,4,Gaming,0,0
38299946,2082,41640,3,4,Infrastructure,0,0
1081771,6313,208329,2,2,SaaS,0,0
5608622,12722,356216,7,6,AI,0,0
14743117,2668,74704,1,8,AI,1,0
4784381,12196,365880,3,2,DeFi,0,0
22204426,14167,99169,7,7,SaaS,1,0
61135886,8781,122934,1,1,Infrastructure,0,0
78806913,9518,76144,3,3,DeFi,0,0
2598309,41401,1449035,3,4,Infrastructure,1,0
1042229,3671,80762,4,5,Gaming,1,1
2451713,10224,265824,4,5,Gaming,0,0
21054205,6945,131955,1,5,SaaS,0,0
770087,2493,24930,5,6,Infrastructure,0,0
5575169,11878,380096,6,6,DeFi,1,0
5821450,34489,551824,1,4,Infrastructure,0,0
632956625,10307,164912,5,8,AI,0,1
760237,19686,492150,7,5,Gaming,1,0
21210209,6790,217280,2,9,Gaming,1,0
1934868,9626,144390,4,10,Infrastructure,0,1
216317461,10235,347990,1,4,Gaming,0,0
86712028,6163,178727,2,1,SaaS,1,0
1098523,3605,50470,6,5,AI,0,0
10674232,13827,442464,1,7,AI,0,0
2185392,7910,142380,1,2,SaaS,0,0
2912182,53981,1295544,1,2,Gaming,0,0
22599428,10519,157785,4,13,AI,1,1
7800847,3429,37719,2,6,Infrastructure,0,0
265659610,11722,269606,2,6,SaaS,0,0
33692141,41159,1070134,4,2,Infrastructure,1,0
9799140,14838,89028,1,1,DeFi,0,0
2050662,4389,79002,5,1,DeFi,0,0
1162936,3978,39780,5,6,Infrastructure,0,0
24478114,3753,116343,7,6,DeFi,1,0
114923664,16006,432162,2,6,SaaS,0,0
6729719,9567,86103,1,9,AI,0,0
1781904,2421,62946,1,9,DeFi,0,0
2575002,3483,101007,5,8,Infrastructure,0,0
16757153,5954,89310,5,8,AI,0,1
157887339,10116,303480,6,0,SaaS,0,0
3945728,4496,85424,4,5,SaaS,1,1
4634134,23380,654640,5,2,Infrastructure,0,0
210821358,5715,182880,1,5,DeFi,1,0
187353224,5176,46584,6,4,Gaming,0,0
2607444,16228,227192,7,5,Gaming,0,0
6386017,1445,46240,1,8,SaaS,0,0
52224876,12878,399218,2,6,AI,1,0
13199642,4736,165760,3,8,AI,0,0
141982822,4824,110952,6,9,DeFi,0,1
6574218,4380,109500,7,6,SaaS,1,0
11321670,11317,260291,7,5,Gaming,0,0
2288236,6756,189168,4,9,Gaming,0,0
281759584,21489,472758,6,7,DeFi,1,1
425510368,6948,69480,7,3,SaaS,0,0
7819238,3533,74193,7,1,Gaming,0,0
12022137,10390,62340,2,7,Infrastructure,0,0
13249980,6813,68130,4,5,AI,0,0
1074746,9487,113844,3,4,AI,0,0
768084,7031,161713,4,6,Infrastructure,1,1
1409013,5980,173420,3,5,AI,0,0
905465,10365,290220,2,3,Infrastructure,0,0
9756021,6592,217536,1,0,Gaming,0,0
19653290,3370,50550,1,1,Infrastructure,1,0
11436620,9340,112080,7,3,SaaS,0,0
21645,6302,220570,5,7,Infrastructure,0,0
30733409,18970,360430,7,9,SaaS,0,1
24140550,3512,35120,2,4,SaaS,0,0
58907421,6099,109782,4,1,SaaS,0,0
39532242,75987,2583558,2,4,DeFi,0,0
3190604,3423,51345,6,0,SaaS,0,0
701782330,9459,132426,5,1,Gaming,0,0
81369796,11593,405755,4,0,SaaS,0,0
29467344,54169,1841746,7,5,SaaS,0,0
33846040,22056,176448,4,10,Infrastructure,1,0
88913643,15116,423248,7,0,Gaming,0,0
187157297,35720,1000160,7,13,Infrastructure,0,0
110490660,19658,668372,4,5,AI,0,0
326227,1270,39370,3,6,Gaming,0,0
9211186,2356,47120,4,0,SaaS,0,0
26597011,3439,85975,2,5,AI,1,0
10478523,11921,214578,3,5,DeFi,1,1
761365,1103,15442,3,4,DeFi,0,0
64320983,5243,178262,1,2,SaaS,0,0
128529,26354,448018,1,6,DeFi,0,0
903737156,5859,193347,7,7,AI,1,1
3919631,9868,296040,3,5,DeFi,0,0
11550051,13074,300702,6,3,DeFi,1,0
15423296,5241,172953,2,4,AI,0,0
57333724,1846,35074,3,2,DeFi,0,1
220003904,5110,40880,4,5,AI,0,0
16054521,6430,218620,2,6,DeFi,1,0
23566140,21917,197253,6,3,SaaS,0,0
25926834,16328,195936,7,4,Infrastructure,1,1
4926288,1573,47190,6,8,DeFi,0,0
4072384,6158,190898,7,6,AI,0,0
3903602,1760,59840,4,2,DeFi,0,0
29958171,7984,87824,3,5,AI,0,0
783716,53906,808590,3,4,AI,0,0
10034934,6105,128205,6,0,DeFi,1,0
4264149,1948,50648,1,3,AI,0,0
162727,18541,259574,5,6,SaaS,0,1
3535504,3292,98760,7,1,Gaming,1,0
72923245,4109,65744,5,6,Gaming,0,0
17340425,35397,353970,6,8,Infrastructure,1,1
34874989,97347,1070817,1,11,SaaS,1,1
14369303,8584,231768,1,8,DeFi,1,0
403594713,32351,485265,3,9,DeFi,1,1
60113863,8805,237735,7,6,DeFi,1,0
95550732,4860,165240,7,4,SaaS,0,0
32732730,19859,436898,6,0,AI,0,0
517994355,22513,607851,7,1,Infrastructure,0,0
188805028,8778,228228,7,4,Infrastructure,0,0
1023085,6363,133623,4,7,SaaS,0,1
6906766,20290,365220,7,4,Gaming,1,1
14251529,4851,106722,1,10,DeFi,0,1
9904953,5826,145650,6,8,SaaS,0,0
18070491,7952,111328,1,10,SaaS,0,1
198702,2263,24893,1,9,Infrastructure,0,0
4984092,22658,521134,7,6,Infrastructure,0,0
269209,4043,40430,2,5,AI,0,0
9978927,58354,408478,4,6,Gaming,1,0
1980604,9381,206382,3,6,Gaming,0,0
2962351,23680,615680,3,7,SaaS,0,0
11114745,2087,73045,6,8,Infrastructure,0,0
6705194,1782,19602,3,3,SaaS,0,0
5078409,7668,76680,5,10,AI,0,0
5835983,9647,115764,4,8,AI,1,1
34825356,5458,169198,5,10,DeFi,0,0
1769042,49120,589440,1,6,Infrastructure,0,1
24277673,10001,210021,2,3,Gaming,0,0
1163989,3541,92066,1,1,DeFi,1,0
912361,5182,67366,6,4,Gaming,1,1
7309226,10472,178024,5,4,AI,0,1
252997911,8886,124404,4,4,AI,0,0
158298,13280,385120,2,10,Infrastructure,0,0
3014882,15113,226695,4,4,AI,0,0
96114183,9664,144960,5,6,Gaming,0,0
24108407,176283,4407075,4,5,AI,0,0
10360492,42124,421240,5,0,Infrastructure,0,0
6777844,13845,470730,5,0,Gaming,0,0
30129981,21813,130878,2,2,DeFi,0,0
9177512,7553,196378,2,0,Gaming,0,0
82057867,796,22288,1,6,Gaming,0,0
627231,18696,336528,6,5,SaaS,0,0
16566693,37051,1148581,6,2,AI,1,0
5116633,9124,264596,6,11,DeFi,0,0
375152,8709,130635,7,2,AI,0,0
7737482,5939,53451,4,3,Gaming,0,0
481452,6418,128360,3,6,Infrastructure,0,1
1642482,27614,165684,3,1,AI,0,0
36248950,5181,124344,1,4,Infrastructure,0,1
5185586,9780,283620,2,3,Gaming,0,0
5315975,5939,207865,4,5,Gaming,1,0
25874609,6442,135282,3,5,Gaming,0,0
1228509565,4884,39072,3,6,DeFi,0,0
500503,7334,198018,4,5,AI,0,0
51240500,5352,144504,1,4,Infrastructure,1,0
92362,6682,46774,7,3,SaaS,0,0
23289124,3422,92394,7,5,DeFi,0,0
7278769,2698,89034,2,2,Infrastructure,1,0
84395702,15708,157080,1,4,DeFi,0,0
2924162,12742,318550,7,3,DeFi,0,0
151169408,42608,1406064,3,10,Gaming,0,0
19102562,27629,856499,3,1,SaaS,0,0
37675390,22991,666739,2,8,Gaming,0,0
5147627,7807,218596,6,6,Infrastructure,0,0
14753863,2058,16464,5,4,SaaS,0,0
15204023,22831,707761,6,7,Gaming,0,0
21674292,5945,95120,1,9,AI,1,1
80223179,44130,397170,4,6,DeFi,1,0
31498771,3010,54180,4,7,SaaS,1,1
155335136,52986,1377636,2,8,AI,0,0
1922814,25828,490732,5,8,DeFi,0,1
120756817,6232,211888,5,4,DeFi,0,0
4893925,964,18316,1,5,Infrastructure,1,1
4322498,2872,89032,2,7,Infrastructure,0,0
58446172,35167,386837,1,5,AI,0,0
9171018,7773,186552,3,8,Infrastructure,0,1
49146652,13815,290115,7,0,Infrastructure,0,0
1310438,5782,52038,4,7,AI,0,0
1483270,64067,832871,6,0,SaaS,0,0
113296671,13127,288794,3,3,Gaming,0,0
5820598,1081,25944,7,9,Gaming,0,1
682282563,1034,13442,3,7,AI,0,1
2125092,32291,742693,7,8,SaaS,1,1
4782749,2118,12708,7,8,AI,0,0
5340608,3400,105400,4,7,Gaming,1,0
143328374,48239,385912,1,2,SaaS,0,0
2241301,1691,59185,1,2,Infrastructure,0,0
66914246,31896,574128,6,0,DeFi,1,0
580182,34313,926451,6,4,Infrastructure,0,0
33472744,2861,68664,4,0,AI,0,0
1345485,6779,169475,4,12,SaaS,1,0
77348547,1481,13329,1,3,Gaming,1,0
8638264,10362,300498,5,0,SaaS,0,0
58222648,3561,67659,4,5,DeFi,0,0
7179991,5956,65516,4,0,Infrastructure,0,0
13627307,39468,670956,4,7,AI,1,1
27522577,11729,281496,5,4,Infrastructure,0,1
4452605,2738,62974,3,2,SaaS,0,1
1725231,5373,69849,7,2,AI,1,1
2120410,17486,507094,1,4,SaaS,0,0
38717723,3721,59536,1,3,DeFi,0,0
97417788,4735,89965,5,4,Gaming,1,1
1103229,4854,121350,2,2,SaaS,0,0
186568077,6967,229911,2,5,Infrastructure,0,0
10815640,24722,444996,5,1,AI,0,0
12625026,7413,118608,5,7,SaaS,0,1
225487,4163,91586,4,6,AI,1,1
35984365,26156,836992,2,2,Gaming,0,0
756534,10085,131105,7,1,AI,0,0
1541343,6565,105040,6,10,Gaming,0,0
18662595,4674,130872,1,2,Infrastructure,1,0
1309002,3427,47978,1,5,AI,0,0
982642,17128,154152,2,4,SaaS,0,0
47151273,3796,125268,5,5,Infrastructure,1,0
46030936,6244,68684,5,6,AI,0,0
148529,45227,633178,4,0,DeFi,0,0
2263554,1841,18410,4,6,SaaS,0,0
11282187,55874,1843842,4,7,DeFi,0,0
23781292,2397,71910,3,4,Gaming,0,0
166029291,17474,384428,5,0,Gaming,0,0
20840875,2082,58296,3,0,AI,0,0
13993433,15371,353533,3,2,AI,0,0
27505836,488,9272,1,5,Gaming,0,1
7483330,4293,115911,6,5,DeFi,1,0
22884644,17403,243642,6,5,SaaS,0,1
1732094,2812,61864,1,5,DeFi,0,0
511949,11367,250074,5,5,Gaming,0,1
582456547,6745,236075,6,9,SaaS,0,0
2682047,6921,89973,6,0,AI,0,0
236299,8913,196086,3,6,AI,0,0
89877825,2700,64800,6,9,Gaming,0,1
288141,10745,279370,5,5,DeFi,0,0
8993651,33769,742918,6,11,AI,0,1
4977703,3318,92904,3,7,Gaming,0,0
4110030,22107,773745,2,4,Gaming,0,0
2740220,14114,338736,5,3,DeFi,1,0
101026145,5898,112062,3,5,DeFi,0,0
5133826,9959,209139,3,2,Gaming,1,0
3664166,2978,53604,4,6,AI,0,0
1815554,5788,40516,5,7,SaaS,0,0
2012017,1820,58240,1,0,AI,1,0
37503716,3479,41748,7,7,Infrastructure,0,0
93373804,1966,11796,4,11,Infrastructure,1,0
3179800,35771,930046,6,2,DeFi,1,0
8585284,20253,486072,4,3,DeFi,0,0
2053896,10942,142246,5,6,SaaS,0,0
1407969459,15360,291840,4,0,Infrastructure,0,1
1927475,13820,248760,6,1,SaaS,1,1
1007372209,6954,132126,2,1,DeFi,0,1
1870304,8310,265920,4,1,AI,0,0
1176818,12018,144216,5,5,Gaming,1,1
17397827,1471,48543,2,4,SaaS,0,0
6309418,2413,33782,5,4,AI,1,0
28624006,9608,182552,4,0,DeFi,0,0
163918759,25685,744865,2,2,Gaming,1,0
463959771,17158,205896,7,7,SaaS,0,0
3869073,44634,1517556,4,7,Gaming,1,0
69531708,7909,55363,3,5,Gaming,0,0
567594,3022,51374,1,2,DeFi,0,0
17603098,15314,122512,4,2,DeFi,0,0
5675002,14091,140910,6,3,AI,1,0
828945,41602,1289662,7,2,SaaS,0,0
1193646,1914,66990,7,1,AI,0,0
553927,17277,604695,1,4,SaaS,0,0
21620977,6416,57744,6,4,AI,0,0
8869008,7042,119714,1,4,SaaS,0,1
20138441,11786,141432,6,7,Gaming,1,0
1082618,7206,108090,3,2,SaaS,0,0
2514889,8528,289952,2,6,Gaming,0,0
13799636,12142,218556,2,6,Infrastructure,1,1
6729681,10567,232474,7,1,AI,0,0
975122836,28841,980594,6,5,DeFi,0,0
879775,9182,275460,3,4,Gaming,0,0
515750,8687,173740,2,1,AI,0,0
4028646,6686,60174,2,6,SaaS,0,0
42548868,9699,77592,5,4,Infrastructure,0,0
9268146,2814,98490,4,4,SaaS,0,0
111254285,12273,319098,6,4,Infrastructure,0,0
681104,3103,49648,7,3,SaaS,0,0
1099042,11049,243078,6,8,SaaS,0,1
525403,25477,203816,6,5,SaaS,1,0
37908896,7458,253572,5,2,SaaS,0,0
526738222,7732,239692,6,4,DeFi,1,0
14871700,29660,622860,4,10,SaaS,0,1
24516595,3201,67221,7,9,SaaS,0,1
1085541166,4169,104225,6,4,Gaming,1,0
1317459,11206,212914,2,8,Gaming,1,1
9257736,14478,275082,5,7,AI,0,1
180511107,2571,20568,3,4,Infrastructure,0,0
5924347,1241,7446,6,4,AI,0,0
16614199,5316,47844,6,11,Infrastructure,0,0
4445481,13149,249831,2,0,DeFi,0,0
1601154,23867,286404,4,7,Gaming,0,0
787681,10541,252984,6,7,DeFi,0,1
18688237,21362,405878,4,6,SaaS,0,0
1214705,40705,1017625,6,2,DeFi,1,0
54059605,8749,148733,5,4,AI,0,0
35052282,39510,750690,5,12,Gaming,1,1
4724112,7007,182182,5,7,SaaS,0,0
8510620,24105,482100,5,6,AI,0,0
983998,4836,62868,2,4,Infrastructure,0,0
5041434,3502,119068,4,3,AI,0,0
1144880,3640,112840,5,1,SaaS,1,0
11082626,4231,101544,5,5,Infrastructure,1,1
1807365,11787,106083,3,2,Gaming,0,0
955496,4498,49478,3,8,Infrastructure,0,0
116114,4280,77040,3,6,Gaming,0,0
124075092,1051,14714,3,2,AI,0,0
1254547,41839,1380687,1,0,Infrastructure,0,0
38203341,66769,1602456,3,9,Infrastructure,0,1
19215436,11360,284000,2,5,Infrastructure,1,0
52258584,6034,72408,6,2,AI,0,0
940132,22667,476007,5,1,SaaS,0,0
19915191,20725,725375,1,5,DeFi,0,0
13478328,21696,173568,4,3,Infrastructure,1,0
2685138,5798,133354,3,5,SaaS,0,0
50170263,9529,266812,6,0,DeFi,1,0
56711448,3039,27351,3,5,AI,0,0
82371433,3066,49056,5,2,AI,1,0
21420549,6271,37626,6,5,SaaS,0,0
660853,5089,40712,1,0,DeFi,0,0
1368032,32413,551021,5,2,Gaming,0,1
19193851,2434,70586,5,5,DeFi,0,0
41017771,14218,241706,4,2,AI,0,0
5817491,19670,236040,2,5,DeFi,0,0
175935484,1734,38148,1,4,Gaming,0,0
4461016,6104,134288,4,5,Infrastructure,1,1
4652927,2148,21480,3,5,Infrastructure,1,0
9703018,6693,220869,3,8,Infrastructure,0,0
4579172,14259,156849,7,0,SaaS,1,0
16844711,5888,188416,7,6,AI,0,0
4358222,2317,64876,1,2,Infrastructure,1,0
63239252,16565,447255,7,3,Gaming,0,0
1100273,19457,194570,4,4,AI,0,0
10284527,1704,49416,3,4,SaaS,0,0
2706343,4215,63225,2,6,Gaming,1,1
10366250,7200,86400,3,1,AI,1,1
403512,3807,72333,1,4,Infrastructure,0,0
9131803,12729,229122,6,3,SaaS,1,1
2361030,11024,286624,5,1,DeFi,0,0
12954610,867,7803,1,6,Gaming,0,0
132817,2050,38950,1,4,DeFi,1,1
1712184,14853,460443,1,6,AI,1,0
4699970,4521,153714,6,7,SaaS,0,0
4005960,7178,43068,3,2,AI,1,0
13505469,26628,745584,4,5,Gaming,0,0
18644286,33098,827450,6,1,Infrastructure,0,0
62324667,24860,223740,3,8,Gaming,1,1
16558110,22097,132582,2,4,Infrastructure,1,0
559047,3315,109395,4,9,DeFi,0,0
64037829,41766,960618,3,5,Gaming,0,1
2551765,5262,147336,2,0,SaaS,0,0
1147449760,807,22596,7,5,AI,1,1
1648224,7628,53396,1,0,DeFi,0,0
7670694,2679,61617,7,3,AI,0,0
39945039,11786,306436,7,8,DeFi,1,0
1719506,10288,102880,5,6,Gaming,0,0
58401574,17440,470880,4,4,SaaS,1,0
8702153,1009,17153,6,8,DeFi,0,1
8617607,6570,210240,6,4,Gaming,0,0
497483,25388,761640,2,0,Gaming,0,0
9823882,8084,72756,6,4,AI,0,0
2358897,20621,701114,6,5,SaaS,0,0
1866436,14493,86958,1,1,Gaming,1,0
5524880,5805,34830,1,2,AI,0,0
531461,4413,92673,6,5,Infrastructure,1,1
6520371,23988,647676,2,7,AI,1,0
1713502,5723,171690,6,8,AI,0,0
144231,16183,356026,1,3,DeFi,0,0
437686,7335,212715,4,5,DeFi,0,0
12741575,12553,389143,5,4,SaaS,1,0
1188871,5350,37450,2,4,SaaS,1,0
112383222,9762,185478,7,0,Infrastructure,1,0
1504762,18183,345477,2,10,SaaS,0,1
179016928,36513,1058877,7,9,DeFi,0,0
22277562,72018,1728432,7,6,Infrastructure,0,1
18256494,11035,143455,1,5,AI,0,0
1751054,4080,114240,7,4,Infrastructure,0,0
15379781,5145,92610,1,8,Gaming,0,1
14322425,42266,1098916,1,0,Gaming,0,0
15099136,1744,43600,4,5,AI,0,0
461142,21243,148701,3,4,AI,0,0
405881,81113,2433390,3,2,DeFi,0,0
10560674,1676,50280,3,8,Infrastructure,0,0
